Ajax,ajax.png,Paises Bajos,20
Atalanta,atalanta.png,Italia,0
Atlético,atletico.png,España,28
Barcelona,barcelona.png,España,21
Bayern,bayern.png,Alemania,29
Benfica,benfica.png,Portugal,27
Besiktas,besiktas.png,Turquía,0
Chelsea,chelsea.png,Inglaterra,26
Club Brugge,club_brugge.png,Bélgica,0
Dortmund,dortmund.png,Alemania,2
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,18
Internazionale,internazionale.png,Italia,19
Juventus,juventus.png,Italia,19
Leipzig,leipzig.png,Alemania,0
Liverpool,liverpool.png,Inglaterra,26
LOSC,losc.png,Francia,0
Malmö,malmo.png,Suecia,0
Man. City,man_city.png,Inglaterra,28
Man. United,man_united.png,Inglaterra,18
Milan,milan.png,Italia,24
Paris,paris.png,Francia,16
Porto,porto.png,Portugal,13
Real Madrid,real_madrid.png,España,26
Salzburg,salzburg.png,Austria,0
Sevilla,sevilla.png,España,10
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,0
Sheriff,sheriff.png,Moldavia,0
Sporting CP,sporting_cp.png,Portugal,15
Villarreal,villarreal.png,España,12
Wolfsburg,wolfsburg.png,Alemania,0
Young Boys,young_boys.png,Suiza,0
Zenit,zenit.png,Rusia,0
